GeneMasterName,GeneFullName,ClinVarGene ID,Location,Chromosome,ChromosomeArm,NumExons,NumBases,NumAminoAcids,GeneType,Mechanism,Pathway,PathwayGraphic,VariantLevelRisk,GraphicGene,GraphicProtein,GeneInteraction,urlGenecards,urlGenereviews,urlOMIM,RefSeqID1,RefSeqID2,Childhood,RecessiveConditionAlso,Preimplant_PrenatalDx,In_Ask2meWebsite,MedNeon,In_Invitae84,Ambry,Myriad_MyRisk,Geisinger,ACMG,ACMG_3_Dec2021,Helix,Completed,Inheritance,Check,DiseaseTypeMaster,SPANISH_GeneType,CHINESE_GeneType,SPANISH_Mechanism,CHINESE_Mechanism,PreImplantationTesting,NCCN_GuidelinesDec2021,Notes
ACTN2,ACITIN ALPHA 2,,1q43,1,Q,,"100491, 78178",894,,"Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins, including the alpha and beta spectrins and dystrophins. Alpha actinin is an actin-binding protein with multiple roles in different cell types. In nonmuscle cells, the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions, where it is involved in binding actin to the membrane. In contrast, skeletal, cardiac, and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies, where they help anchor the myofibrillar actin filaments. This gene encodes a muscle-specific, alpha actinin isoform that is expressed in both skeletal and cardiac muscles. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2013]",,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
CCND1,Cyclin D1,595,11q13.3 ,11,,5,13319,295,,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance throughout the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK4 or CDK6, whose activity is required for cell cycle G1/S transition. This protein has been shown to interact with tumor suppressor protein Rb and the expression of this gene is regulated positively by Rb. Mutations, amplification and overexpression of this gene, which alters cell cycle progression, are observed frequently in a variety of human cancers. ",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1&keywords=CCND1#summaries,,https://omim.org/entry/168461?search=CCND1&highlight=ccnd1,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
CEP57,Centrosomal Protein 57,,11q21,11,,,4279,500,,"This gene encodes a cytoplasmic protein called Translokin. This protein localizes to the centrosome and has a function in microtubular stabilization. The N-terminal half of this protein is required for its centrosome localization and for its multimerization, and the C-terminal half is required for nucleating, bundling and anchoring microtubules to the centrosomes. This protein specifically interacts with fibroblast growth factor 2 (FGF2), sorting nexin 6, Ran-binding protein M and the kinesins KIF3A and KIF3B, and thus mediates the nuclear translocation and mitogenic activity of the FGF2. It also interacts with cyclin D1 and controls nucleocytoplasmic distribution of the cyclin D1 in quiescent cells. This protein is crucial for maintaining correct chromosomal number during cell division. Mutations in this gene cause mosaic variegated aneuploidy syndrome, a rare autosomal recessive disorder. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP57&keywords=CEP57#summarie,,https://omim.org/entry/607951?search=CEP57&highlight=cep57,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
CFTR,CF Transmembrane Conductance Regulator,1080,7q31.2,7,Q,24,42852,1480,protein coding,"This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. The encoded protein functions as a chloride channel, making it unique among members of this protein family, and controls ion and water secretion and absorption in epithelial tissues. Channel activation is mediated by cycles of regulatory domain phosphorylation, ATP-binding by the nucleotide-binding domains, and ATP hydrolysis. Mutations in this gene cause cystic fibrosis, the most common lethal genetic disorder in populations of Northern European descent. The most frequently occurring mutation in cystic fibrosis, DeltaF508, results in impaired folding and trafficking of the encoded protein. Multiple pseudogenes have been identified in the human genome. [provided by RefSeq, Aug 2017]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR&keywords=CFTR#summaries,,https://omim.org/entry/602421?search=CFTR&highlight=cftr,,,,1,,,,,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,1,
COX10,Cytochrome C Oxidase Assembly Factor Heme A:Farnesyltransferase COX10,1352,17p12 ,17,,7,162247,443,,"Cytochrome c oxidase (COX), the terminal component of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. This component is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may function in the regulation and assembly of the complex. This nuclear gene encodes heme A:farnesyltransferase, which is not a structural subunit but required for the expression of functional COX and functions in the maturation of the heme A prosthetic group of COX. This protein is predicted to contain 7-9 transmembrane domains localized in the mitochondrial inner membrane. A gene mutation, which results in the substitution of a lysine for an asparagine (N204K), is identified to be responsible for cytochrome c oxidase deficiency. In addition, this gene is disrupted in patients with CMT1A (Charcot-Marie-Tooth type 1A) duplication and with HNPP (hereditary neuropathy with liability to pressure palsies) deletion. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX10&keywords=COX10#summaries,,https://omim.org/entry/602125?search=COX10&highlight=cox10#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
COX15,Cytochrome C Oxidase Assembly Homolog,1355,10q24.2,10,,,37839,410,,"Cytochrome c oxidase (COX), the terminal component of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. This component is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may function in the regulation and assembly of the complex. This nuclear gene encodes a protein which is not a structural subunit, but may be essential for the biogenesis of COX formation and may function in the hydroxylation of heme O, according to the yeast mutant studies. This protein is predicted to contain 5 transmembrane domains localized in the mitochondrial inner membrane. Alternative splicing of this gene generates two transcript variants diverging in the 3' region. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX15&keywords=COX15#summaries,,https://omim.org/entry/603646?search=COX15&highlight=cox15,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
CPA1,Carboxypeptidase A1,1357,7q32.2,7,Q,,7776,419,protein coding,"This gene encodes a member of the carboxypeptidase A family of zinc metalloproteases. This enzyme is produced in the pancreas and preferentially cleaves C-terminal branched-chain and aromatic amino acids from dietary proteins. This gene and several family members are present in a gene cluster on chromosome 7. Mutations in this gene may be linked to chronic pancreatitis, while elevated protein levels may be associated with pancreatic cancer. [provided by RefSeq, Jan 2015]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA1&keywords=CPA1#summaries,,https://omim.org/entry/114850?search=CPA1&highlight=cpa1,,,,,,,,,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,1,
CSRP3,Cysteine And Glycine Rich Protein 3,8048,11p15.1,11,,,2852,194,,"This gene encodes a member of the CSRP family of LIM domain proteins, which may be involved in regulatory processes important for development and cellular differentiation. The LIM/double zinc-finger motif found in this protein is found in a group of proteins with critical functions in gene regulation, cell growth, and somatic differentiation. Mutations in this gene are thought to cause heritable forms of hypertrophic cardiomyopathy (HCM) and dilated cardiomyopathy (DCM) in humans. Alternatively spliced transcript variants with different 5' UTR, but encoding the same protein, have been found for this gene. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSRP3&keywords=CSRP3#summaries,,https://omim.org/entry/600824?search=CSRP3&highlight=csrp3,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
CTC1,CST Telomere Replication Complex Component 1,80169,11p13.1,17,,,23265,1217,,"This gene encodes a component of the CST complex. This complex plays an essential role in protecting telomeres from degradation. This protein also forms a heterodimer with the CST complex subunit STN1 to form the enzyme alpha accessory factor. This enzyme regulates DNA replication. Mutations in this gene are the cause of cerebroretinal microangiopathy with calcifications and cysts. Alternate splicing results in both coding and non-coding variants. [provided by RefSeq, Mar 2012]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTC1&keywords=CTC1#summaries,,https://omim.org/entry/613129?search=CTC1&highlight=ctc1#geneFunction,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
CTF1,Cardiotrophin 1,1489,16p11.2,16,,3,7737,201,,"The protein encoded by this gene is a secreted cytokine that induces cardiac myocyte hypertrophy in vitro. It has been shown to bind and activate the ILST/gp130 receoptor. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTF1&keywords=ctf1#summaries,,https://omim.org/entry/600435?search=ctf1&highlight=ctf1,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
KRAS,"KRAS Proto-Oncogene, GTPase",3845,12p12.1,12,,4,45691,189,prtein coding,"his gene, a Kirsten ras oncogene homolog from the mammalian ras gene family, encodes a protein that is a member of the small GTPase superfamily. A single amino acid substitution is responsible for an activating mutation. The transforming protein that results is implicated in various malignancies, including lung adenocarcinoma, mucinous adenoma, ductal carcinoma of the pancreas and colorectal carcinoma. Alternative splicing leads to variants encoding two isoforms that differ in the C-terminal region. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS&keywords=kras#summaries,,https://omim.org/entry/190070?search=kras&highlight=kras,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
LAMP2,Lysosomal Associated Membrane Protein 2,3920,Xq24,,,9,43218,410,protein coding,"he protein encoded by this gene is a member of a family of membrane glycoproteins. This glycoprotein provides selectins with carbohydrate ligands. It may play a role in tumor cell metastasis. It may also function in the protection, maintenance, and adhesion of the lysosome. Alternative splicing of this gene results in multiple transcript variants encoding distinct proteins. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2&keywords=lamp2#summaries,,https://omim.org/entry/309060?search=lamp2&highlight=lamp2#geneStructure,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
LDB3,LIM Domain Binding 3,11133,10q22.3,10,,17,69285,727,protein coding,"This gene encodes a PDZ domain-containing protein. PDZ motifs are modular protein-protein interaction domains consisting of 80-120 amino acid residues. PDZ domain-containing proteins interact with each other in cytoskeletal assembly or with other proteins involved in targeting and clustering of membrane proteins. The protein encoded by this gene interacts with alpha-actinin-2 through its N-terminal PDZ domain and with protein kinase C via its C-terminal LIM domains. The LIM domain is a cysteine-rich motif defined by 50-60 amino acids containing two zinc-binding modules. This protein also interacts with all three members of the myozenin family. Mutations in this gene have been associated with myofibrillar myopathy and dilated cardiomyopathy. Alternatively spliced transcript variants encoding different isoforms have been identified; all isoforms have N-terminal PDZ domains while only longer isoforms (1, 2 and 5) have C-terminal LIM domains. [provided by RefSeq, Jan 2010]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDB3&keywords=ldb3#summaries,,https://omim.org/entry/605906?search=ldb3&highlight=ldb3#geneStructure,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
LDLR,Low Density Lipoprotein Receptor,3949,19p13.2,19,,,44389,860,protein coding,"he low density lipoprotein receptor (LDLR) gene family consists of cell surface proteins involved in receptor-mediated endocytosis of specific ligands. Low density lipoprotein (LDL) is normally bound at the cell membrane and taken into the cell ending up in lysosomes where the protein is degraded and the cholesterol is made available for repression of microsomal enzyme 3-hydroxy-3-methylglutaryl coenzyme A (HMG CoA) reductase, the rate-limiting step in cholesterol synthesis. At the same time, a reciprocal stimulation of cholesterol ester synthesis takes place. Mutations in this gene cause the autosomal dominant disorder, familial hypercholesterolemia. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Sep 2010]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR&keywords=ldlr#summaries,,https://omim.org/entry/606945?search=ldlr&highlight=ldlr,,,,,,,,,,,1,1,1,,,Mono,,Benign,,,,,,,
LDLRAP1,Low Density Lipoprotein Receptor Adaptor Protein 1,26119,,1,,9,46813,308,protein coding,"The protein encoded by this gene is a cytosolic protein which contains a phosphotyrosine binding (PTD) domain. The PTD domain has been found to interact with the cytoplasmic tail of the LDL receptor. Mutations in this gene lead to LDL receptor malfunction and cause the disorder autosomal recessive hypercholesterolaemia. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLRAP1&keywords=ldlrap1#summaries,,https://omim.org/entry/605747?search=ldlrap1&highlight=ldlrap1#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
LKB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
LMNA,Lamin A/C,4000,1q22,1,,12,57517,664,,"The nuclear lamina consists of a two-dimensional matrix of proteins located next to the inner nuclear membrane. The lamin family of proteins make up the matrix and are highly conserved in evolution. During mitosis, the lamina matrix is reversibly disassembled as the lamin proteins are phosphorylated. Lamin proteins are thought to be involved in nuclear stability, chromatin structure and gene expression. Vertebrate lamins consist of two types, A and B. Alternative splicing results in multiple transcript variants. Mutations in this gene lead to several diseases: Emery-Dreifuss muscular dystrophy, familial partial lipodystrophy, limb girdle muscular dystrophy, dilated cardiomyopathy, Charcot-Marie-Tooth disease, and Hutchinson-Gilford progeria syndrome. [provided by RefSeq, Apr 2012]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA&keywords=lmna#summaries,,https://omim.org/entry/150330?search=lmna&highlight=lmna#geneStructure,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
SBDS,SBDS Ribosome Maturation Factor,51119,7q11.21,7,,,7908,250,,"Required for the assembly of mature ribosomes and ribosome biogenesis. Together with EFL1, triggers the GTP-dependent release of EIF6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBDS,,https://omim.org/entry/607444,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
SCN5A,Sodium Voltage-Gated Channel Alpha Subunit 5,6331,3p22.2,3,P,,101632,2016,,"This protein mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+)",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN5A,,https://omim.org/entry/600163,,,,,,,,,,,,1,1,,,Mono,,Benign,,,,,,,
SGCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
SIL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
SKIV2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
SLX4,SLX4 Structure-Specific Endonuclease Subunit,84464,16p13.3,16,,,31987,1834,,Regulatory subunit that interacts with and increases the activity of different structure-specific endonucleases. Has several distinct roles in protecting genome stability by resolving diverse forms of deleterious DNA structures originating from replicatio,,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLX4,,https://omim.org/entry/613278,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,9,
SPRED1,Sprouty Related EVH1 Domain Containing 1,161742,15q14,15,Q,,"105,163",444,MAP KINAE PATHWAY INHIBITOR,"Tyrosine kinase substrate that inhibits growth-factor-mediated activation of MAP kinase (By similarity). Negatively regulates hematopoiesis of bone marrow (By similarity). Inhibits fibroblast growth factor (FGF)-induced retinal lens fiber differentiation,",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRED1,,https://omim.org/entry/609291,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
EME2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
FAT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
FGFR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
FLT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
GEN1,GEN1 Holliday Junction 5' Flap Endonuclease,,2p24.2,2,P,16,,,protein coding,"This gene encodes a member of the Rad2/xeroderma pigmentosum group G nuclease family, whose members are characterized by N-terminal and internal xeroderma pigmentosum group G nuclease domains followed by helix-hairpin-helix domains and disordered C-terminal domains. The protein encoded by this gene is involved in resolution of Holliday junctions, which are intermediate four-way structures that covalently link DNA during homologous recombination and double-strand break repair. The protein resolves Holliday junctions by creating dual incisions across the junction to produce nicked duplex products that can be ligated. In addition, this protein has been found to localize to centrosomes where it has been implicated in regulation of centrosome integrity. Alternative splicing results in multiple transcript variants",,,,,,,,,,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,1,
HABP2,Hyaluronan Binding Protein 2,,10q25.3,10,Q,,"38,772",560,protein coding,"This gene encodes a member of the peptidase S1 family of serine proteases. The encoded preproprotein is secreted by hepatocytes and proteolytically processed to generate heavy and light chains that form the mature heterodimer. Further autoproteolysis leads to smaller, inactive peptides. This extracellular protease binds hyaluronic acid and may play a role in the coagulation and fibrinolysis systems. Mutations in this gene are associated with nonmedullary thyroid cancer and susceptibility to venous thromboembolism. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. [provided by RefSeq, Jan 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP2&keywords=HABP2,,,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
HPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
IGF2R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
MCPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
MUS81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
MYD88,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
NTRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
PMS2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
PPP2R2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
RAD52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
RAD54L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
RBBP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
SLX1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
TP53BP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
TRRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
WWP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
XPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
XRCC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,,,,,,,
MLH1-Biallelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
MSH2-Biallelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
MSH6-Biallelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
MUTYH-Biallelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,Biallelic,UpdateWebsite,,,,,,,,
"MUTYH-Biallelic/Compound Heterozygous
MUTYH-Biallelic/Compound Heterozygous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Biallelic,UpdateWebsite,,,,,,,,
MUTYH-Biallelic/G396D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Biallelic,UpdateWebsite,,,,,,,,
MYD88-Biallelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
PMS2-Biallelic,"PMS1 Homolog 2, Mismatch Repair System Component",5395,7p22.1,7,,15,38182,862,,,,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
ATM-Biallelic,Ataxia Telangiectasia Mutated,472,11q22.3,11,Q,69,146619,3056,,,,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
BLM-Biallelic,RecQ Like Helicase,641,15q26.1,15,Q,,98821,1417,,"The Bloom syndrome is an autosomal recessive disorder characterized by growth deficiency, microcephaly and immunodeficiency among others. It is caused by homozygous or compound heterozygous mutation in the gene encoding DNA helicase RecQ protein on chromosome 15q26. This Bloom-associated helicase unwinds a variety of DNA substrates including Holliday junction, and is involved in several pathways contributing to the maintenance of genome stability. Identification of pathogenic Bloom variants is required for heterozygote testing in at-risk families. [provided by RefSeq, May 2020]",,,,,,,,,,,,,,,,,,,,,,,,,Biallelic,,,,,,,,,
NF2,Neurofibromin 2,4771,22q12.2,22,Q,19,"95,045",595,protein coding,"This gene encodes a protein that is similar to some members of the ERM (ezrin, radixin, moesin) family of proteins that are thought to link cytoskeletal components with proteins in the cell membrane. This gene product has been shown to interact with cell-surface proteins, proteins involved in cytoskeletal dynamics and proteins involved in regulating ion transport. This gene is expressed at high levels during embryonic development; in adults, significant expression is found in Schwann cells, meningeal cells, lens and nerve.",,,,,,"PAK1, PAK2, PAK3, RAC1, CDC42, FRMD6, WWC1, LATS1, LATS2, AMOTL1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2&keywords=NF2,https://www.ncbi.nlm.nih.gov/gene/4771,,NM_001042492,,1,,,,1,1,1,,1,1,1,,,Mono,,Cancer,supresor tumoral,肿瘤抑制,"El producto proteico de NF1 es la neurofibromina 1, que regula negativamente la vía de señalización de RAS, inhibiendo así el crecimiento y la diferenciación celular.",NF1的蛋白质产物是Neurofibromin 1。该蛋白通过负调节RAS信号通路，从而抑制细胞生长和分化。,,,
NTHL1,Nth Like DNA Glycosylase 1,4913,16p13.3,16,P,6,8052,312,protein coding,"The protein encoded by this gene is a DNA N-glycosylase of the endonuclease III family. Like a similar protein in E. coli, the encoded protein has DNA glycosylase activity on DNA substrates containing oxidized pyrimidine residues and has apurinic/apyrimidinic lyase activity. [provided by RefSeq, Oct 2008]",,,,,,"APEX1, OGG1, NEIL1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTHL1&keywords=nthl1#summaries,,https://omim.org/entry/602656?search=nthl1&highlight=nthl1,,,,1,,,1,1,1,1,,,,,,Mono,,Cancer,,,,,,,
PDGFRA,Platelet Derived Growth Factor Receptor Alpha,5156,4q12,4,Q,23,69121,1089,protein coding,"This gene encodes a cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family. These growth factors are mitogens for cells of mesenchymal origin. The identity of the growth factor bound to a receptor monomer determines whether the functional receptor is a homodimer or a heterodimer, composed of both platelet-derived growth factor receptor alpha and beta polypeptides. Studies suggest that this gene plays a role in organ development, wound healing, and tumor progression. Mutations in this gene have been associated with idiopathic hypereosinophilic syndrome, somatic and familial gastrointestinal stromal tumors, and a variety of other cancers. [provided by RefSeq, Mar 2012]",,,,,,"PDGFB, PIK3CA, STAT1, PTPN11, STAT3, CRK, PIK3R1, PLCG1, PDGFA, PDGFC",https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA&keywords=pdgfra#summaries,,https://omim.org/entry/173490?search=pdgfra&highlight=pdgfra,,,,,,,1,1,1,,,,,,,Mono,,Cancer,,,,,,,
PHOX2B,Paired Like Homeobox 2B,8929,4p13,4,P,,4644,314,protein coding,"The DNA-associated protein encoded by this gene is a member of the paired family of homeobox proteins localized to the nucleus. The protein functions as a transcription factor involved in the development of several major noradrenergic neuron populations and the determination of neurotransmitter phenotype. The gene product is linked to enhancement of second messenger-mediated activation of the dopamine beta-hydroylase, c-fos promoters and several enhancers, including cyclic amp-response element and serum-response element. Expansion of a 20 amino acid polyalanine tract in this protein by 5-13 aa has been associated with congenital central hypoventilation syndrome. [provided by RefSeq, Jul 2016]",,,,,,"ALK, SOX10, ASCL1, DBH, TH, HAND2, TRIM11, ISL1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHOX2B&keywords=phox2b#summaries,,https://omim.org/entry/603851?search=phox2b&highlight=phox2b,,,1,,,,1,1,1,,,,,,,Mono,,Cancer,,,,,,,
POT1,Protection Of Telomeres 1,25913,7q31.33,7,Q,,107598,634,protein coding,"This gene is a member of the telombin family and encodes a nuclear protein involved in telomere maintenance. Specifically, this protein functions as a member of a multi-protein complex that binds to the TTAGGG repeats of telomeres, regulating telomere length and protecting chromosome ends from illegitimate recombination, catastrophic chromosome instability, and abnormal chromosome segregation. Increased transcriptional expression of this gene is associated with stomach carcinogenesis and its progression. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2008]",,,,,,"TERT, TERF1, TERF2IP, TERF2, ACD, TINF2, CTC1, OBFC1, DCLRE1B, BRCA1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=POT1&keywords=pot1#genomic_location,,https://omim.org/entry/606478?search=pot1&highlight=pot1#geneStructure,,,,,,,1,1,1,,,,,,,Mono,,Cancer,,,,,,,
PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,5573,17q24.2,17,Q,,137697,381,protein coding,"cAMP is a signaling molecule important for a variety of cellular functions. cAMP exerts its effects by activating the cAMP-dependent protein kinase, which transduces the signal through phosphorylation of different target proteins. The inactive kinase holoenzyme is a tetramer composed of two regulatory and two catalytic subunits. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. Four different regulatory subunits and three catalytic subunits have been identified in humans. This gene encodes one of the regulatory subunits. This protein was found to be a tissue-specific extinguisher that down-regulates the expression of seven liver genes in hepatoma x fibroblast hybrids. Mutations in this gene cause Carney complex (CNC). This gene can fuse to the RET protooncogene by gene rearrangement and form the thyroid tumor-specific chimeric oncogene known as PTC2. A nonconventional nuclear localization sequence (NLS) has been found for this protein which suggests a role in DNA replication via the protein serving as a nuclear transport protein for the second subunit of the Replication Factor C (RFC40). Several alternatively spliced transcript variants encoding two different isoforms have been observed. [provided by RefSeq, Jan 2013]",,,,,,"PRKAR1B, PRKACB, PRKAR2B, PRKACA, PRKACG, GNAS, ADCY9, GPR161, CREB1",https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A&keywords=prkar1a#summaries,,https://omim.org/entry/188830?search=prkar1a&highlight=prkar1a,,,1,,,,1,1,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
